time,received_bytes
Fri Aug 11 2023 16:23:00 GMT+0900 (한국 표준시),302.93333333333334
Fri Aug 11 2023 16:24:00 GMT+0900 (한국 표준시),1419950.85
Fri Aug 11 2023 16:25:00 GMT+0900 (한국 표준시),4420045.75
Fri Aug 11 2023 16:26:00 GMT+0900 (한국 표준시),3853164.8
Fri Aug 11 2023 16:27:00 GMT+0900 (한국 표준시),3792655
Fri Aug 11 2023 16:28:00 GMT+0900 (한국 표준시),3818864.1333333333
Fri Aug 11 2023 16:29:00 GMT+0900 (한국 표준시),3801554.8666666667
Fri Aug 11 2023 16:30:00 GMT+0900 (한국 표준시),3836517.9166666665
Fri Aug 11 2023 16:31:00 GMT+0900 (한국 표준시),3969519
Fri Aug 11 2023 16:32:00 GMT+0900 (한국 표준시),3764962.8833333333
Fri Aug 11 2023 16:33:00 GMT+0900 (한국 표준시),3748788.316666667
Fri Aug 11 2023 16:34:00 GMT+0900 (한국 표준시),3911738.1
Fri Aug 11 2023 16:35:00 GMT+0900 (한국 표준시),3963808.783333333
Fri Aug 11 2023 16:36:00 GMT+0900 (한국 표준시),3859251.25
Fri Aug 11 2023 16:37:00 GMT+0900 (한국 표준시),3854959.466666667
Fri Aug 11 2023 16:38:00 GMT+0900 (한국 표준시),3868490.6
Fri Aug 11 2023 16:39:00 GMT+0900 (한국 표준시),3936163.4833333334
Fri Aug 11 2023 16:40:00 GMT+0900 (한국 표준시),3864177.6166666667
Fri Aug 11 2023 16:41:00 GMT+0900 (한국 표준시),3914088.8833333333
Fri Aug 11 2023 16:42:00 GMT+0900 (한국 표준시),3926970.6666666665
Fri Aug 11 2023 16:43:00 GMT+0900 (한국 표준시),3833050.466666667
Fri Aug 11 2023 16:44:00 GMT+0900 (한국 표준시),3768990.283333333
Fri Aug 11 2023 16:45:00 GMT+0900 (한국 표준시),3845096.716666667
Fri Aug 11 2023 16:46:00 GMT+0900 (한국 표준시),3938211.55
Fri Aug 11 2023 16:47:00 GMT+0900 (한국 표준시),4047983.3
Fri Aug 11 2023 16:48:00 GMT+0900 (한국 표준시),3984959.533333333
Fri Aug 11 2023 16:49:00 GMT+0900 (한국 표준시),3917343.716666667
Fri Aug 11 2023 16:50:00 GMT+0900 (한국 표준시),3882184.283333333
Fri Aug 11 2023 16:51:00 GMT+0900 (한국 표준시),3961924.25
Fri Aug 11 2023 16:52:00 GMT+0900 (한국 표준시),3896390.683333333
Fri Aug 11 2023 16:53:00 GMT+0900 (한국 표준시),3794121.1
Fri Aug 11 2023 16:54:00 GMT+0900 (한국 표준시),3781600.4833333334
Fri Aug 11 2023 16:55:00 GMT+0900 (한국 표준시),3721989.2666666666
Fri Aug 11 2023 16:56:00 GMT+0900 (한국 표준시),3819816.8333333335
Fri Aug 11 2023 16:57:00 GMT+0900 (한국 표준시),3796172.6166666667
Fri Aug 11 2023 16:58:00 GMT+0900 (한국 표준시),3773228.1166666667
Fri Aug 11 2023 16:59:00 GMT+0900 (한국 표준시),3470348.533333333
Fri Aug 11 2023 17:00:00 GMT+0900 (한국 표준시),2054325.9166666667
