time,disk_wb
Sat Aug 12 2023 13:03:00 GMT+0900 (한국 표준시),1757953.7666666666
Sat Aug 12 2023 13:04:00 GMT+0900 (한국 표준시),14864141.733333332
Sat Aug 12 2023 13:05:00 GMT+0900 (한국 표준시),36320565.083333336
Sat Aug 12 2023 13:06:00 GMT+0900 (한국 표준시),34883308.900000006
Sat Aug 12 2023 13:07:00 GMT+0900 (한국 표준시),28475326.916666664
Sat Aug 12 2023 13:08:00 GMT+0900 (한국 표준시),31446146.03333333
Sat Aug 12 2023 13:09:00 GMT+0900 (한국 표준시),40368660.41666667
Sat Aug 12 2023 13:10:00 GMT+0900 (한국 표준시),31361449.233333334
Sat Aug 12 2023 13:11:00 GMT+0900 (한국 표준시),33318425.43333333
Sat Aug 12 2023 13:12:00 GMT+0900 (한국 표준시),34353211.9
Sat Aug 12 2023 13:13:00 GMT+0900 (한국 표준시),30055016.383333333
Sat Aug 12 2023 13:14:00 GMT+0900 (한국 표준시),28461885.583333332
Sat Aug 12 2023 13:15:00 GMT+0900 (한국 표준시),39077807.05
Sat Aug 12 2023 13:16:00 GMT+0900 (한국 표준시),33711403.083333336
Sat Aug 12 2023 13:17:00 GMT+0900 (한국 표준시),31894209.016666666
Sat Aug 12 2023 13:18:00 GMT+0900 (한국 표준시),32845039.833333332
Sat Aug 12 2023 13:19:00 GMT+0900 (한국 표준시),33682434.86666667
Sat Aug 12 2023 13:20:00 GMT+0900 (한국 표준시),33950708.1
Sat Aug 12 2023 13:21:00 GMT+0900 (한국 표준시),32125728.8
Sat Aug 12 2023 13:22:00 GMT+0900 (한국 표준시),26594298.833333336
Sat Aug 12 2023 13:23:00 GMT+0900 (한국 표준시),9793132.75
