time,sent_bytes
Fri Aug 11 2023 16:23:00 GMT+0900 (한국 표준시),6177.516666666666
Fri Aug 11 2023 16:24:00 GMT+0900 (한국 표준시),2779034
Fri Aug 11 2023 16:25:00 GMT+0900 (한국 표준시),8204333.65
Fri Aug 11 2023 16:26:00 GMT+0900 (한국 표준시),7171040.166666667
Fri Aug 11 2023 16:27:00 GMT+0900 (한국 표준시),8929660.283333333
Fri Aug 11 2023 16:28:00 GMT+0900 (한국 표준시),7702588.483333333
Fri Aug 11 2023 16:29:00 GMT+0900 (한국 표준시),7593753.666666667
Fri Aug 11 2023 16:30:00 GMT+0900 (한국 표준시),7684864.45
Fri Aug 11 2023 16:31:00 GMT+0900 (한국 표준시),7944555.916666667
Fri Aug 11 2023 16:32:00 GMT+0900 (한국 표준시),7519652.7
Fri Aug 11 2023 16:33:00 GMT+0900 (한국 표준시),7540160.616666666
Fri Aug 11 2023 16:34:00 GMT+0900 (한국 표준시),7828472.2
Fri Aug 11 2023 16:35:00 GMT+0900 (한국 표준시),7895971.133333334
Fri Aug 11 2023 16:36:00 GMT+0900 (한국 표준시),7728427.933333334
Fri Aug 11 2023 16:37:00 GMT+0900 (한국 표준시),7702868.516666667
Fri Aug 11 2023 16:38:00 GMT+0900 (한국 표준시),7704920.85
Fri Aug 11 2023 16:39:00 GMT+0900 (한국 표준시),7876439.733333333
Fri Aug 11 2023 16:40:00 GMT+0900 (한국 표준시),7731199.383333334
Fri Aug 11 2023 16:41:00 GMT+0900 (한국 표준시),7811467.45
Fri Aug 11 2023 16:42:00 GMT+0900 (한국 표준시),7856285.733333333
Fri Aug 11 2023 16:43:00 GMT+0900 (한국 표준시),7688140.4
Fri Aug 11 2023 16:44:00 GMT+0900 (한국 표준시),7549977.1
Fri Aug 11 2023 16:45:00 GMT+0900 (한국 표준시),7654550.616666666
Fri Aug 11 2023 16:46:00 GMT+0900 (한국 표준시),7866488
Fri Aug 11 2023 16:47:00 GMT+0900 (한국 표준시),8118487.966666667
Fri Aug 11 2023 16:48:00 GMT+0900 (한국 표준시),7965704.533333333
Fri Aug 11 2023 16:49:00 GMT+0900 (한국 표준시),7805531.866666666
Fri Aug 11 2023 16:50:00 GMT+0900 (한국 표준시),7747485
Fri Aug 11 2023 16:51:00 GMT+0900 (한국 표준시),7895993.4
Fri Aug 11 2023 16:52:00 GMT+0900 (한국 표준시),7793428.133333334
Fri Aug 11 2023 16:53:00 GMT+0900 (한국 표준시),7574875.733333333
Fri Aug 11 2023 16:54:00 GMT+0900 (한국 표준시),7544742.45
Fri Aug 11 2023 16:55:00 GMT+0900 (한국 표준시),7460314.85
Fri Aug 11 2023 16:56:00 GMT+0900 (한국 표준시),7633504.683333334
Fri Aug 11 2023 16:57:00 GMT+0900 (한국 표준시),7614117.733333333
Fri Aug 11 2023 16:58:00 GMT+0900 (한국 표준시),7545701.35
Fri Aug 11 2023 16:59:00 GMT+0900 (한국 표준시),6971667.933333334
Fri Aug 11 2023 17:00:00 GMT+0900 (한국 표준시),4119706.45
